DATE,POWER_GAS,ELEC_IND_SUM,OIL_PRICE,QVA,TCL_LT,TEMP_EF,ELEC_SERVICE
1996-01-01,8408979,9236808,27.86,36550.3,-0.189310588235294,3.744768,3616542
1996-02-01,7593086,8465308,29.04,36751,-0.226982352941176,3.732234,3551611
1996-03-01,8306941,9677322,27.99,36951.7,-0.0456311764705882,3.621268,3333225
1996-04-01,8299351,9650845,28.74,37152.4,0.0294564705882352,3.460496,3430624
1996-05-01,8156027,9658045,29.18,37365.7333333333,0.242891764705882,3.30546,3333483
1996-06-01,7623686,9868783,28.73,37579.0666666667,0.389187058823529,3.204494,3514613
1996-07-01,8067004,9905310,31.19,37792.4,0.423853529411765,3.16376,4061955
1996-08-01,9068224,9994981,32.55,37985.7333333333,0.477368235294118,3.149024,4610675
1996-09-01,7520586,9700580,33.11,38179.0666666667,0.32791,3.212678,4397640
1996-10-01,8288360,10083975,34.17,38372.4,0.0965717647058823,3.379816,3650633
1996-11-01,8458068,10243410,35.88,38485.2,-0.0664158823529411,3.552992,3687640
1996-12-01,8863206,9897812,36.3,38598,-0.154635294117647,3.737348,3852251
1997-01-01,8841019,9236808,39.02,38710.8,-0.301584117647059,3.71844,3616542
1997-02-01,8037794,8465308,39.43,39414.8666666667,-0.155784705882353,3.69672,3551611
1997-03-01,9825381,9677322,38.35,40118.9333333333,-0.0242588235294117,3.580258,3333225
1997-04-01,8416221,9650845,38.13,40823,0.125717058823529,3.43568,3430624
1997-05-01,8996029,9658045,37.23,40640.3,0.291958823529412,3.321576,3333483
1997-06-01,8181289,9868783,37.77,40457.6,0.455240588235294,3.208326,3514613
1997-07-01,8870128,9905310,35.49,40274.9,0.589952352941176,3.171046,4061955
1997-08-01,9174802,9994981,34.88,39999.5,0.650214705882353,3.129666,4610675
1997-09-01,8462285,9700580,36.32,39724.1,0.394071176470588,3.258664,4397640
1997-10-01,9724725,10083975,36.88,39448.7,0.0834388235294117,3.3731,3650633
1997-11-01,9561146,10243410,39.34,38483.4666666667,0.0085111764705882,3.50952,3687640
1997-12-01,8722472,9897812,62.8,37518.2333333333,-0.191208823529412,3.663066,3852251
1998-01-01,7300480,8634094,66.48,36553,-0.342738823529412,3.698768,3777655
1998-02-01,8345810,8425647,71.9,36280.8,-0.158347058823529,3.62669,3600225
1998-03-01,8551680,9059637,57.24,36008.6,0.0159594117647058,3.559032,3325284
1998-04-01,7523118,9078884,56.9,35736.4,0.178549411764706,3.387094,3455175
1998-05-01,8195673,9063878,49.33,36053.8666666667,0.443434117647059,3.288266,3393120
1998-06-01,7357013,9182483,48.77,36371.3333333333,0.525625294117647,3.22606,3472327
1998-07-01,6643359,9031645,48.56,36688.8,0.773568235294118,3.172152,3897449
1998-08-01,6306832,8788122,48.44,37472.4666666667,0.764984117647059,3.146454,4336453
1998-09-01,7687864,9443987,49.66,38256.1333333333,0.609010588235294,3.211072,4239392
1998-10-01,6012622,8931402,52.75,39039.8,0.326477058823529,3.33363,3703630
1998-11-01,7196426,9531238,52.92,39288.5,-0.012485294117647,3.539034,3600647
1998-12-01,7920701,9657057,50.28,39537.2,-0.137976470588235,3.652226,3878525
1999-01-01,7777823,9243910,45.99,39785.9,-0.27532,3.710772,4082079
1999-02-01,6869754,8419015,45.48,41199.9333333333,-0.297840588235294,3.711004,4017336
1999-03-01,8632955,9539796,45.28,42613.9666666667,-0.0357941176470588,3.559494,3833634
1999-04-01,8365721,9780591,47.57,44028,0.228099411764706,3.40338,3946234
1999-05-01,7975599,9888873,50.69,44769.8333333333,0.500245882352941,3.313042,3770762
1999-06-01,8411930,10358533,50.66,45511.6666666667,0.757371176470588,3.221362,4013577
1999-07-01,8625631,10561379,50.57,46253.5,0.848928235294118,3.147938,4396654
1999-08-01,7487967,10324588,51.99,47007.9,0.892744705882353,3.162918,4990385
1999-09-01,7325797,10383499,54.08,47762.3,0.710110588235294,3.209176,4863217
1999-10-01,7981645,10620294,58.37,48516.7,0.251495882352941,3.368358,4200033
1999-11-01,7895862,10855362,60.97,48992,0.0143223529411764,3.53096,4191396
1999-12-01,9121863,10883136,60.23,49467.3,-0.254237647058824,3.674942,4603538
2000-01-01,9145453,10792692,58.07,49942.6,-0.325373529411765,3.733564,5048124
2000-02-01,8509514,9986626,58.24,50344.9333333333,-0.306412352941176,3.666322,5054793
2000-03-01,10083469,11170726,58.42,50747.2666666667,-0.0395011764705882,3.569462,4884520
2000-04-01,9538746,10680155,57.94,51149.6,0.226187647058824,3.439352,4742498
2000-05-01,10210790,11003517,55.49,52124.4333333333,0.552529411764706,3.30988,4563989
2000-06-01,10572343,11271060,59.67,53099.2666666667,0.812485882352941,3.204616,4810888
2000-07-01,11259059,11421088,59.98,54074.1,1.04610117647059,3.169626,5389011
2000-08-01,10778142,11243002,62.02,53482.7666666667,1.07556823529412,3.164682,5956026
2000-09-01,8729204,10738024,34.55,52891.4333333333,0.738501176470588,3.239134,5453841
2000-10-01,10550413,11287982,68.11,52300.1,0.403825294117647,3.362692,4756752
2000-11-01,10325892,11488702,38.49,52511.8666666667,0.0534529411764706,3.549396,5116304
2000-12-01,10244508,11176208,38.58,52723.6333333333,-0.231112352941176,3.688086,5733455
2001-01-01,9928589,10546650,66.42,52935.4,-0.544305294117647,3.75202,6538096
2001-02-01,9896079,10372372,65.88,52928.4666666667,-0.23394,3.68296,6512294
2001-03-01,11312890,11294984,66.28,52921.5333333333,-0.0024188235294117,3.594616,6038689
2001-04-01,10260765,11150055,67.18,52914.6,0.310580588235294,3.436672,5870261
2001-05-01,11079151,11413358,66.19,53029.9333333333,0.693633529411765,3.293198,5319718
2001-06-01,11739307,11588368,66.19,53145.2666666667,0.927209411764706,3.208056,5639631
2001-07-01,12399905,11416174,67.32,53260.6,1.16391117647059,3.158562,5980843
2001-08-01,11308779,11185678,65.7,53591.7666666667,1.11988235294118,3.142252,6679132
2001-09-01,11308657,11703778,65.08,53922.9333333333,0.789647647058824,3.212966,6268263
2001-10-01,11392013,11575190,65.23,54254.1,0.583457647058824,3.344676,5695171
2001-11-01,11876318,11698866,61.95,54855.7333333333,0.091315294117647,3.550434,5987510
2001-12-01,12934287,11845837,58.45,55457.3666666667,-0.170319411764706,3.706704,6774382
2002-01-01,12701944,11980585,59.56,56059,-0.273814117647059,3.779196,7721875
2002-02-01,10184592,10683105,60.08,56614.3333333333,-0.124411176470588,3.66036,7329808
2002-03-01,11663819,11910050,61.72,57169.6666666667,0.101651764705882,3.57798,6770417
2002-04-01,12257278,12034390,64.61,57725,0.504374705882353,3.419986,6523414
2002-05-01,11408640,12156352,66.51,58329.8333333333,0.743037647058824,3.30406,6060110
2002-06-01,10577715,12001569,66.25,58934.6666666667,0.983451764705882,3.220798,6056592
2002-07-01,11733940,12290569,67.22,59539.5,1.27949529411765,3.167068,6297668
2002-08-01,10605458,11929823,66.76,59782.7666666667,1.22121647058824,3.172942,6955949
2002-09-01,10658269,11857621,68.27,60026.0333333333,0.956137647058823,3.227348,6565003
2002-10-01,11024858,12171990,71.66,60269.3,0.31626,3.401856,6571648
2002-11-01,12588407,12721685,73.12,60110.6333333333,0.0299835294117647,3.55147,7031811
2002-12-01,13524564,12716020,71.34,59951.9666666667,-0.140592941176471,3.68103,7301400
2003-01-01,13222237,12656270,74.8,59793.3,-0.49468,3.737398,8641748
2003-02-01,12097968,11635088,76.7,59585.5666666667,-0.162787058823529,3.706932,8340782
2003-03-01,11536474,12740058,78.68,59377.8333333333,0.0735129411764705,3.577228,7365479
2003-04-01,10576434,12567314,73.07,59170.1,0.497707647058824,3.41565,7161295
2003-05-01,11114352,12419539,70.62,59996.1333333333,0.72707705882353,3.27814,6489256
2003-06-01,11488280,12539111,69.27,60822.1666666667,1.07691529411765,3.226434,6488976
2003-07-01,10799242,12440427,71.78,61648.2,1.28894529411765,3.172106,6666185
2003-08-01,10895192,12224988,72.27,62674.8333333333,1.29270941176471,3.160648,7224091
2003-09-01,10823983,12014350,72.93,63701.4666666667,1.02605823529412,3.241468,6969744
2003-10-01,12160380,12871514,73.11,64728.1,0.546332352941177,3.38319,6466340
2003-11-01,12224802,13023208,75.53,65366.9333333333,0.172594705882353,3.52005,7292532
2003-12-01,13330132,13255072,77.42,66005.7666666667,-0.166201764705882,3.727016,8298377
2004-01-01,12648481,12610912,79.63,66644.6,-0.545136470588235,3.74201,8830283
2004-02-01,11971217,12697102,80.85,66999.1333333333,-0.0921164705882353,3.679786,8972120
2004-03-01,12516914,13331218,80.53,67353.6666666667,-0.013450588235294,3.557348,8040904
2004-04-01,11180184,13047675,80.87,67708.2,0.517954705882353,3.434226,7583946
2004-05-01,11333706,13099886,81.66,67768.2666666667,0.861434117647059,3.304958,6820215
2004-06-01,11296560,13373006,82.16,67828.3333333333,1.14130705882353,3.209586,6968806
2004-07-01,12010987,13289786,81.99,67888.4,1.53331411764706,3.166596,7347103
2004-08-01,12375333,13131262,85.11,68079.5,1.48678823529412,3.150946,8310352
2004-09-01,11443657,13036913,86.65,68270.6,1.17334470588235,3.228666,7438016
2004-10-01,12514266,13266575,88.39,68461.7,0.650190588235294,3.355862,6768664
2004-11-01,12659728,13756237,89.13,68625.9,0.351678235294118,3.522346,7377399
2004-12-01,13413676,13696523,84.63,68790.1,-0.0806452941176471,3.662376,8268565
2005-01-01,14089063,13855197,83.24,68954.3,-0.387350588235294,3.741764,9658804
2005-02-01,12389177,12354651,83.62,69426.2,-0.387944117647059,3.731364,9509988
2005-03-01,12754514,13983587,86.15,69898.1,-0.0115829411764705,3.614282,8801785
2005-04-01,11938918,13734519,90.89,70370,0.588822941176471,3.410254,8313744
2005-05-01,11871907,13855110,90.3,70998.2,0.920984705882353,3.314562,7185553
2005-06-01,12075776,14026754,90.83,71626.4,1.31398882352941,3.218254,7607980
2005-07-01,13354901,14035272,96.08,72254.6,1.61542882352941,3.180434,8029761
2005-08-01,12508185,13844678,98.16,72665.0666666667,1.58956352941176,3.1783,8723798
2005-09-01,11850567,13787495,102.3,73075.5333333333,1.32424764705882,3.227434,8088575
2005-10-01,11639948,13851996,103.56,73486,0.616718235294118,3.37266,7314160
2005-11-01,12333555,14478391,100.7,74134.7333333333,0.268304117647059,3.512132,7973624
2005-12-01,14400686,15004963,99.4,74783.4666666667,-0.521020588235294,3.764308,9778791
2006-01-01,15062281,14667671,100.93,75432.2,-0.366542941176471,3.697814,10986164
2006-02-01,12766622,13881207,101.83,75588.8333333333,-0.494928823529412,3.68964,10204934
2006-03-01,13075849,14727747,102.17,75745.4666666667,-0.090965294117647,3.585466,9155216
2006-04-01,11337712,14314757,105.24,75902.1,0.581577647058824,3.447868,8938952
2006-05-01,11298897,14421408,106.38,76662.3,1.03344705882353,3.30285,7831433
2006-06-01,11641685,14524250,106.76,77422.5,1.43126470588235,3.247684,7838581
2006-07-01,12604905,14371623,108.98,78182.7,1.60939647058824,3.209068,8233070
2006-08-01,14224144,14544228,109.87,78118,1.83705705882353,3.160488,9184733
2006-09-01,12333728,14931005,106.38,78053.3,1.29751529411765,3.252608,8689507
2006-10-01,12300116,13859989,100.38,77988.6,0.982905882352941,3.306716,7450384
2006-11-01,13641905,15058539,98.3,78786.1666666667,0.355974705882353,3.503888,8376019
2006-12-01,15623073,15358729,98.47,79583.7333333333,-0.358974117647059,3.660754,10058771
2007-01-01,16476173,15569118,97.08,80381.3,-0.187747058823529,3.687042,10866291
2007-02-01,13398416,14286617,97.25,80986.1666666667,-0.119265882352941,3.611022,10738706
2007-03-01,14625430,15285329,100.31,81591.0333333333,-0.0230023529411764,3.560338,9365077
2007-04-01,12855145,15233776,103.96,82195.9,0.531849411764706,3.445954,9381808
2007-05-01,13502397,15444686,107.27,82678.9333333333,1.17370764705882,3.30314,8270064
2007-06-01,13790177,15484994,108.09,83161.9666666667,1.55519117647059,3.225342,8279936
2007-07-01,14869201,15568992,109.95,83645,1.77460235294118,3.201218,8691159
2007-08-01,15745448,15652508,109.85,84578.7666666667,1.85207764705882,3.167392,9672248
2007-09-01,13305917,15297084,112.46,85512.5333333333,1.54977352941176,3.235418,9203827
2007-10-01,13959694,15553628,115.2,86446.3,0.801248823529412,3.36049,8159533
2007-11-01,14682635,16317908,122.21,86695.4666666667,0.100356470588235,3.5409,9168285
2007-12-01,16204442,16556996,127.47,86944.6333333333,-0.037255294117647,3.647066,10804289
2008-01-01,16135808,16852984,128.93,87193.8,-0.484192941176471,3.71456,11750225
2008-02-01,14488149,15644256,129.37,87450.5666666667,-0.385355294117647,3.717426,11982629
2008-03-01,14167708,16705479,133.6,87707.3333333333,0.258251764705882,3.540374,10553059
2008-04-01,13505079,16233941,141.35,87964.1,0.775381176470588,3.394104,9502189
2008-05-01,14110231,16171722,155.7,88135.3333333333,1.08596352941176,3.311828,8435189
2008-06-01,15149101,16237900,169.09,88306.5666666667,1.46617941176471,3.249888,8467546
2008-07-01,17481712,16851838,173.66,88477.8,1.95314176470588,3.176358,9202828
2008-08-01,16819190,16378890,163.44,85926.3666666667,1.88000529411765,3.191718,10023405
2008-09-01,15318174,16159746,158.03,83374.9333333333,1.30288235294118,3.236152,9112717
2008-10-01,15163305,16368183,146.95,80823.5,1.01291823529412,3.338634,8435499
2008-11-01,14945530,15705066,123.5,80163.6333333333,0.0673023529411765,3.522838,9228903
2008-12-01,16371369,15319827,110.87,79503.7666666667,-0.387638823529412,3.65752,10940876
2009-01-01,17694375,14966139,108.25,78843.9,-0.535435294117647,3.72483,12516933
2009-02-01,16657834,14814984,112.74,79568.9666666667,-0.128312352941177,3.619404,11785449
2009-03-01,17836161,16168634,114,80294.0333333333,0.233281176470588,3.558206,10401325
2009-04-01,16356422,16340813,116.29,81019.1,0.634430588235294,3.416908,9917781
2009-05-01,16380948,15945241,114.22,83345.4333333333,1.27800117647059,3.290016,8743109
2009-06-01,15922794,16183825,122.97,85671.7666666667,1.60329411764706,3.230646,9000386
2009-07-01,17535216,16734516,125.52,87998.1,1.90219411764706,3.206624,9578963
2009-08-01,18000587,16531022,131.19,88183.7666666667,1.91198705882353,3.192888,9983859
2009-09-01,17318857,17605179,129.6,88369.4333333333,1.64559294117647,3.236844,9542758
2009-10-01,16388338,16556722,126.06,88555.1,1.07049882352941,3.340354,8652123
2009-11-01,17603631,17633953,131.97,89235.8333333333,0.231247058823529,3.531478,9554087
2009-12-01,18839911,18262897,132.41,89916.5666666667,-0.44847,3.687238,11526201
2010-01-01,19786031,18693602,134.87,90597.3,-0.688651764705882,3.748812,13585412
2010-02-01,16667519,17169255,131.36,92104.7666666667,-0.223861176470588,3.652338,12843331
2010-03-01,18510659,18275408,136.73,93612.2333333333,0.0588599999999999,3.594442,10855621
2010-04-01,15960563,18389359,140.34,95119.7,0.457664117647059,3.483474,10877068
2010-05-01,15539487,18238113,139.13,95831.2,1.00835588235294,3.319514,9455208
2010-06-01,16561702,18339168,136.68,96542.7,1.52797882352941,3.221286,9295039
2010-07-01,18961500,18913554,135.03,97254.2,2.12859588235294,3.185688,10104520
2010-08-01,19255473,18617441,136.34,97926.8333333333,2.29033470588235,3.169476,11230451
2010-09-01,17809051,18430331,134.65,98599.4666666667,1.41789647058824,3.235794,10607473
2010-10-01,16690936,18404473,138.88,99272.1,0.579996470588235,3.369654,9035295
2010-11-01,16673958,19420798,143.15,99763.4666666667,0.191237058823529,3.54362,10132180
2010-12-01,19032395,20279947,153.5,100254.833333333,-0.510085882352941,3.691984,11901471
2011-01-01,20356791,21020627,160.24,100746.2,-1.03302764705882,3.81496,14262566
2011-02-01,16455025,18697053,164.03,100564.533333333,-0.296162352941176,3.66213,13554206
2011-03-01,17615108,20369515,179.88,100382.866666667,0.0293611764705882,3.611118,11411544
2011-04-01,15244342,20052143,184.78,100201.2,0.542045882352941,3.4527,10895248
2011-05-01,15234639,19776629,179.36,100370.166666667,1.27789,3.310474,9470110
2011-06-01,16479702,20022773,174.18,100539.133333333,1.71282882352941,3.238088,9449146
2011-07-01,18543012,20574637,175.92,100708.1,2.12254176470588,3.193406,10114516
2011-08-01,18439432,20050834,173.9,100680.8,2.08736823529412,3.190492,11034717
2011-09-01,17349977,19718906,178.29,100653.5,1.55708352941176,3.24282,10256889
2011-10-01,18132625,20313211,179.36,100626.2,0.726184117647059,3.377738,9105906
2011-11-01,17758166,20566690,177.85,100860.5,0.438885294117647,3.452092,9705805
2011-12-01,19595985,21041410,179.35,101094.8,-0.424157647058824,3.694888,11501621
2012-01-01,19516810,20970547,185.95,101329.1,-0.561223529411765,3.733524,13759085
2012-02-01,18396865,20568884,191.89,101489.966666667,-0.705325882352941,3.723554,13599172
2012-03-01,17977931,21326997,198.14,101650.833333333,0.0300511764705881,3.580076,11920066
2012-04-01,15392765,20524889,198.45,101811.7,0.724021176470588,3.421626,10956292
