DATE,QVA
1996-01-01,36550.3
1996-02-01,36751.0
1996-03-01,36951.700000000004
1996-04-01,37152.4
1996-05-01,37365.73333333334
1996-06-01,37579.066666666666
1996-07-01,37792.4
1996-08-01,37985.73333333334
1996-09-01,38179.066666666666
1996-10-01,38372.4
1996-11-01,38485.200000000004
1996-12-01,38598.0
1997-01-01,38710.8
1997-02-01,39414.86666666667
1997-03-01,40118.933333333334
1997-04-01,40823.0
1997-05-01,40640.3
1997-06-01,40457.6
1997-07-01,40274.9
1997-08-01,39999.5
1997-09-01,39724.1
1997-10-01,39448.7
1997-11-01,38483.46666666667
1997-12-01,37518.23333333333
1998-01-01,36553.0
1998-02-01,36280.8
1998-03-01,36008.6
1998-04-01,35736.4
1998-05-01,36053.86666666667
1998-06-01,36371.333333333336
1998-07-01,36688.8
1998-08-01,37472.46666666667
1998-09-01,38256.13333333334
1998-10-01,39039.8
1998-11-01,39288.5
1998-12-01,39537.200000000004
1999-01-01,39785.9
1999-02-01,41199.933333333334
1999-03-01,42613.96666666667
1999-04-01,44028.0
1999-05-01,44769.833333333336
1999-06-01,45511.666666666664
1999-07-01,46253.5
1999-08-01,47007.9
1999-09-01,47762.299999999996
1999-10-01,48516.7
1999-11-01,48992.0
1999-12-01,49467.299999999996
2000-01-01,49942.6
2000-02-01,50344.933333333334
2000-03-01,50747.26666666666
2000-04-01,51149.6
2000-05-01,52124.433333333334
2000-06-01,53099.26666666666
2000-07-01,54074.1
2000-08-01,53482.76666666666
2000-09-01,52891.433333333334
2000-10-01,52300.1
2000-11-01,52511.86666666667
2000-12-01,52723.63333333333
2001-01-01,52935.4
2001-02-01,52928.46666666667
2001-03-01,52921.53333333333
2001-04-01,52914.6
2001-05-01,53029.933333333334
2001-06-01,53145.26666666666
2001-07-01,53260.6
2001-08-01,53591.76666666666
2001-09-01,53922.933333333334
2001-10-01,54254.1
2001-11-01,54855.73333333333
2001-12-01,55457.36666666667
2002-01-01,56059.0
2002-02-01,56614.333333333336
2002-03-01,57169.666666666664
2002-04-01,57725.0
2002-05-01,58329.833333333336
2002-06-01,58934.666666666664
2002-07-01,59539.5
2002-08-01,59782.76666666667
2002-09-01,60026.03333333333
2002-10-01,60269.3
2002-11-01,60110.63333333334
2002-12-01,59951.96666666667
2003-01-01,59793.3
2003-02-01,59585.566666666666
2003-03-01,59377.833333333336
2003-04-01,59170.1
2003-05-01,59996.13333333333
2003-06-01,60822.166666666664
2003-07-01,61648.2
2003-08-01,62674.83333333333
2003-09-01,63701.46666666667
2003-10-01,64728.1
2003-11-01,65366.933333333334
2003-12-01,66005.76666666666
2004-01-01,66644.6
2004-02-01,66999.13333333333
2004-03-01,67353.66666666667
2004-04-01,67708.2
2004-05-01,67768.26666666666
2004-06-01,67828.33333333333
2004-07-01,67888.4
2004-08-01,68079.5
2004-09-01,68270.59999999999
2004-10-01,68461.7
2004-11-01,68625.9
2004-12-01,68790.1
2005-01-01,68954.3
2005-02-01,69426.2
2005-03-01,69898.1
2005-04-01,70370.0
2005-05-01,70998.2
2005-06-01,71626.40000000001
2005-07-01,72254.6
2005-08-01,72665.06666666667
2005-09-01,73075.53333333334
2005-10-01,73486.0
2005-11-01,74134.73333333334
2005-12-01,74783.46666666666
2006-01-01,75432.2
2006-02-01,75588.83333333333
2006-03-01,75745.46666666667
2006-04-01,75902.1
2006-05-01,76662.3
2006-06-01,77422.5
2006-07-01,78182.7
2006-08-01,78118.0
2006-09-01,78053.3
2006-10-01,77988.6
2006-11-01,78786.16666666667
2006-12-01,79583.73333333334
2007-01-01,80381.3
2007-02-01,80986.16666666667
2007-03-01,81591.03333333333
2007-04-01,82195.9
2007-05-01,82678.93333333333
2007-06-01,83161.96666666666
2007-07-01,83645.0
2007-08-01,84578.76666666666
2007-09-01,85512.53333333334
2007-10-01,86446.3
